Rank,Name,Genre,ESRB_Rating,Platform,Developer,Publisher,Critic_Score,User_Score,Year
1,Wii Sports,Sports,E,Wii,Nintendo EAD,Nintendo,7.7,8.6,2006
2,Super Mario Bros.,Platform,E,NES,PUBG Corporation,Nintendo,10,7.4,1985
3,Mario Kart Wii,Racing,E,Wii,Game Freak,Nintendo,8.2,9.1,2008
4,PlayerUnknown's Battlegrounds,Shooter,E,PC,Bullet Proof Software,PUBG Corporation,8,7.4,2017
5,Wii Sports Resort,Sports,E,Wii,Mojang AB,Nintendo,8,8.8,2009
6,Pokemon Red / Green / Blue Version,Role-Playing,E,GB,Nintendo R&D1,Nintendo,9.4,5.4,1998
7,New Super Mario Bros.,Platform,E,DS,Good Science Studio,Nintendo,9.1,8.1,2006
8,Tetris,Puzzle,E,GB,Rockstar North,Nintendo,8,8.9,1989
9,New Super Mario Bros. Wii,Platform,E,Wii,Nintendo SDD,Nintendo,8.6,9.2,2009
10,Minecraft,Misc,E,PC,Team Garry,Mojang,10,7.4,2010
11,Duck Hunt,Shooter,E,NES,Nintendo EAD / Retro Studios,Nintendo,8,9.1,1985
12,Wii Play,Misc,E,Wii,Nintendo R&D2,Nintendo,5.9,4.5,2007
13,Kinect Adventures!,Party,E,X360,Treyarch,Microsoft Game Studios,6.7,7.4,2010
14,Nintendogs,Simulation,E,DS,Nintendo EPD,Nintendo,8.4,9.1,2005
15,Mario Kart DS,Racing,E,DS,Valve Software,Nintendo,9.1,9.4,2005
16,Pokemon Gold / Silver Version,Role-Playing,E,GB,Sonic Team,Nintendo,9.2,7.4,2000
17,Wii Fit,Sports,E,Wii,Polyphony Digital,Nintendo,7.9,9.1,2008
18,Wii Fit Plus,Sports,E,Wii,Infinity Ward,Nintendo,8,7.4,2009
19,Super Mario World,Platform,E,SNES,Bungie Studios,Nintendo,8.5,9.1,1991
20,Grand Theft Auto V,Action,M,PS3,Rockstar Games,Rockstar Games,9.4,7.4,2013
21,Brain Age: Train Your Brain in Minutes a Day,Action,M,PS4,Sledgehammer Games,Rockstar Games,9.7,9.1,2014
22,Garry's Mod,Misc,E,DS,Project Sora,Nintendo,8.1,7.4,2006
