Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1,31.37
6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
7,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01
8,Wii Play,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62
10,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
11,Nintendogs,DS,2005,Simulation,Nintendo,9.07,11,1.93,2.75,24.76
12,Mario Kart DS,DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9,6.18,7.2,0.71,23.1
14,Wii Fit,Wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72
15,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22
16,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82
17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4
18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
19,Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36
22,Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
24,Grand Theft Auto: Vice City,X360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
25,Pokemon Ruby/Pokemon Sapphire,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
26,Pokemon Black/Pokemon White,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85
27,Brain Age 2: More Training in Minutes a Day,DS,2010,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32
28,Gran Turismo 3: A-Spec,DS,2005,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3
29,Call of Duty: Modern Warfare 3,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
30,Pokémon Yellow: Special Pikachu Edition,X360,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76
31,Call of Duty: Black Ops,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
32,Pokemon X/Pokemon Y,X360,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64
33,Call of Duty: Black Ops 3,3DS,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35
34,Call of Duty: Black Ops II,PS4,2015,Shooter,Activision,5.77,5.81,0.35,2.31,14.24
35,Call of Duty: Modern Warfare 2,PS3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03
36,Grand Theft Auto III,X360,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73
37,Super Smash Bros. Brawl,X360,2009,Shooter,Activision,8.52,3.63,0.08,1.29,13.51
38,Animal Crossing: Wild World,PS3,2011,Shooter,Activision,5.54,5.82,0.49,1.62,13.46
39,Mario Kart 7,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
40,Halo 3,Wii,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04
41,Pokemon HeartGold/Pokemon SoulSilver,PS3,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73
42,Super Mario 64,DS,2005,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27
43,Gran Turismo 4,3DS,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21
44,Super Mario Galaxy,X360,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14
45,Pokemon Omega Ruby/Pokemon Alpha Sapphire,PS4,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
46,Super Mario Land 2: 6 Golden Coins,DS,2009,Action,Nintendo,4.4,2.77,3.96,0.77,11.9
47,Grand Theft Auto IV,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
48,Gran Turismo,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
49,Super Mario 3D Land,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52
50,Gran Turismo 5,3DS,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33
51,Super Mario All-Stars,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
52,Pokemon FireRed/Pokemon LeafGreen,X360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02
53,Just Dance 3,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
54,Call of Duty: Ghosts,3DS,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79
55,Halo: Reach,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77
56,Mario Kart 64,PS3,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69
57,New Super Mario Bros. 2,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
58,Halo 4,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55
59,Final Fantasy VII,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49
60,Just Dance 2,DS,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42
61,Gran Turismo 2,Wii,2011,Misc,Ubisoft,6.05,3.15,0,1.07,10.26
62,Call of Duty 4: Modern Warfare,X360,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21
63,Donkey Kong Country,X360,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88
64,Minecraft,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87
65,Animal Crossing: New Leaf,3DS,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82
66,Mario Party DS,X360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76
67,The Elder Scrolls V: Skyrim,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
68,Super Mario Kart,PS3,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59
69,FIFA 16,Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52
70,Wii Party,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
71,Halo 2,X360,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32
72,Mario Party 8,SNES,1994,Platform,Nintendo,4.36,1.71,3,0.23,9.3
73,Pokemon Black 2/Pokemon White 2,X360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2
74,FIFA Soccer 13,3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09
75,The Sims 3,DS,2007,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02
76,GoldenEye 007,X360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84
77,Mario & Sonic at the Olympic Games,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
78,Final Fantasy X,PS4,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49
79,Final Fantasy VIII,Wii,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49
80,Pokémon Platinum Version,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
81,Pac-Man,Wii,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42
82,Grand Theft Auto: Liberty City Stories,DS,2012,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33
83,Super Mario Galaxy 2,PS3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24
84,Star Wars Battlefront (2015),PC,2009,Simulation,Electronic Arts,0.98,6.42,0,0.71,8.11
85,Call of Duty: Advanced Warfare,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
86,The Legend of Zelda: Ocarina of Time,Wii,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06
87,Crash Bandicoot 2: Cortex Strikes Back,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
88,Super Mario Bros. 2,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86
89,Super Smash Bros. for Wii U and 3DS,DS,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84
90,Call of Duty: World at War,2600,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81
91,Battlefield 3,PSP,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72
92,The Legend of Zelda: Twilight Princess,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69
93,Just Dance,PS4,2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67
94,Need for Speed Underground,PS4,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6
95,Tekken 3,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
96,Crash Bandicoot 3: Warped,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58
97,Super Smash Bros. Melee,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
98,Mario Kart 8,3DS,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45
99,Fallout 4,X360,2008,Shooter,Activision,4.79,1.9,0,0.69,7.37
100,Mario Kart: Double Dash!!,X360,2011,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34
101,Just Dance 4,Wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31
102,FIFA 14,XOne,2015,Shooter,Activision,4.52,2.09,0.01,0.67,7.3
103,Need for Speed Underground 2,Wii,2009,Misc,Ubisoft,3.51,3.03,0,0.73,7.27
104,Medal of Honor: Frontline,PS3,2011,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23
105,Uncharted 3: Drake's Deception,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2
106,Crash Bandicoot,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16
107,Zumba Fitness,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
108,Gears of War 2,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07
109,Uncharted 2: Among Thieves,WiiU,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96
110,FIFA 12,PS4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96
111,Big Brain Academy,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
112,Red Dead Redemption,Wii,2012,Misc,Ubisoft,4.14,2.21,0,0.56,6.91
113,FIFA 15,PS3,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9
114,Donkey Kong Country Returns,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9
115,The Legend of Zelda,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83
116,Assassin's Creed III,PS3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83
117,Halo: Combat Evolved,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
118,Pokémon Emerald Version,Wii,2010,Sports,505 Games,3.5,2.64,0,0.67,6.81
119,Kingdom Hearts,X360,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76
120,Pokémon Crystal Version,PS3,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1,6.73
121,Halo 3: ODST,PS3,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72
122,Super Mario Sunshine,PS3,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69
123,Street Fighter II: The World Warrior,DS,2005,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67
124,World of Warcraft,PS3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6
125,Driver,PS4,2014,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59
126,Kinect Sports,Wii,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59
127,Gears of War 3,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56
128,Gears of War,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
129,Metal Gear Solid 2: Sons of Liberty,PS3,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5
130,Sonic the Hedgehog 2,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43
131,Metal Gear Solid 4: Guns of the Patriots,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41
132,Metal Gear Solid,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4
133,The Last of Us,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
134,Final Fantasy XII,X360,2009,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36
135,LittleBigPlanet,X360,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34
136,Dragon Quest IX: Sentinels of the Starry Skies,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
137,LEGO Star Wars: The Complete Saga,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3
138,Resident Evil 2,PC,2004,Role-Playing,Activision,0.07,6.21,0,0,6.28
139,Tekken 2,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27
140,Cooking Mama,X360,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24
141,Destiny,X360,2011,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24
142,Assassin's Creed II,X360,2006,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11
143,Super Smash Bros.,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
144,Assassin's Creed,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03
145,Batman: Arkham City,PS3,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03
146,Forza Motorsport 3,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
147,Monster Hunter Freedom Unite,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99
148,Super Mario Advance,PS2,2006,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95
149,Mario Kart: Super Circuit,PS3,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92
150,Pokemon Stadium,DS,2009,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84
151,Crash Bandicoot: The Wrath of Cortex,Wii,2007,Action,LucasArts,3.66,1.63,0,0.53,5.83
152,Final Fantasy XIII,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82
153,Dr. Mario,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
154,Pokemon Pinball,DS,2006,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72
155,Final Fantasy IX,PS4,2014,Shooter,Activision,2.49,2.05,0.16,0.96,5.65
156,Final Fantasy X-2,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
157,Donkey Kong 64,PS3,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57
158,Professor Layton and the Curious Village,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55
159,Tomb Raider II,X360,2007,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55
160,Madden NFL 2004,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53
161,Dragon Quest VIII: Journey of the Cursed King,X360,2009,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51
162,Diablo III,PSP,2008,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5
163,New Super Mario Bros. U,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49
164,Super Mario Land 3: Wario Land,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47
165,The Legend of Zelda: Phantom Hourglass,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46
166,Donkey Kong Country 2: Diddy's Kong Quest,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45
167,Tomodachi Life,PS3,2008,Shooter,Activision,2.72,1.87,0,0.84,5.43
168,Medal of Honor: Rising Sun,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42
169,Kirby's Dream Land,PS3,2014,Misc,Sony Computer Entertainment,1.97,2.51,0,0.94,5.42
170,Fable III,PS3,2009,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36
171,Microsoft Flight Simulator,GB,1989,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34
172,Guitar Hero II,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31
173,Resident Evil 5,X360,2012,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3
174,Grand Theft Auto: Vice City Stories,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3
175,FIFA Soccer 11,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29
176,Resident Evil,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
177,Tony Hawk's Pro Skater,X360,2009,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27
178,Warzone 2100,DS,2007,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26
179,Spyro the Dragon,PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24
180,Link's Crossbow Training,PS2,N/A,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23
181,Guitar Hero III: Legends of Rock,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21
182,Fallout 3,PC,2012,Role-Playing,Activision,2.43,2.15,0,0.62,5.2
183,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2
184,Uncharted: Drake's Fortune,WiiU,2012,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19
185,Madden NFL 06,GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19
186,Diddy Kong Racing,X360,2012,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18
187,Monster Hunter Freedom 3,DS,2007,Action,Nintendo,1.9,1.83,0.95,0.49,5.17
188,God of War III,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15
189,StarCraft II: Wings of Liberty,3DS,2013,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15
190,Crash Team Racing,DS,2008,Sports,Sega,1.64,2.48,0.44,0.58,5.14
191,FIFA 17,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13
192,Driver 2,GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13
193,The Simpsons: Hit & Run,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13
194,Tony Hawk's Pro Skater 2,XOne,2014,Shooter,Activision,3.21,1.53,0.01,0.38,5.13
195,Animal Crossing: City Folk,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0,0.2,5.12
196,The Lord of the Rings: The Two Towers,PS2,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12
197,Forza Motorsport 4,PS3,2009,Action,Capcom,1.96,1.43,1.08,0.65,5.11
198,Tomb Raider,XOne,2014,Action,Take-Two Interactive,2.66,2.01,0,0.41,5.08
199,The Legend of Zelda: A Link to the Past,PSP,2006,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08
200,The Legend of Zelda: The Wind Waker,PS3,2010,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08
201,Mario & Sonic at the Olympic Winter Games,GB,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07
202,Luigi's Mansion: Dark Moon,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05
203,Splatoon,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02
204,Madden NFL 2005,WiiU,2014,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02
205,Pitfall!,PS,1999,Strategy,Eidos Interactive,2.79,1.89,0,0.33,5.01
206,Madden NFL 07,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5
207,Spider-Man: The Movie,Wii,2007,Shooter,Nintendo,3.06,1.18,0.29,0.46,5
208,Dragon Quest VII: Warriors of Eden,PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98
209,Uncharted: The Nathan Drake Collection,X360,2008,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96
210,God of War,DS,2007,Role-Playing,Nintendo,1.85,1.2,1.54,0.37,4.96
211,Nintendo Land,PS3,2007,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94
212,Michael Jackson: The Experience,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91
213,Tony Hawk's Pro Skater 3,DS,2007,Action,LucasArts,2.89,1.54,0,0.46,4.9
214,Winning Eleven: Pro Evolution Soccer 2007,N64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88
215,The Elder Scrolls IV: Oblivion,PSP,2010,Role-Playing,Capcom,0,0,4.87,0,4.87
216,Zelda II: The Adventure of Link,NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85
217,Need for Speed: Most Wanted,PS3,2010,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84
218,Resistance: Fall of Man,PC,2010,Strategy,Activision,2.56,1.68,0,0.59,4.83
219,Sonic the Hedgehog,PS3,2007,Adventure,Ubisoft,1.91,2,0.09,0.83,4.83
220,Kingdom Hearts II,PS3,2014,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82
